Titulo,Preco,Bairro,Cidade,Endereco,Metragem,Quartos,Banheiros,Vagas,Link
"Apartamento para comprar com 64 m², 2 quartos, 2 banheiros, 1 vaga em
Residencial Interlagos, Rio Verde",R$ 634.999,Residencial Interlagos,Rio Verde,N/A,64 m²,2,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-residencial-interlagos-rio-verde-64m2-id-2855624431/?source=ranking%2Crp
"Lote/Terreno para comprar com 360 m² em
Residencial Campos Elíseos, Rio Verde",R$ 80.000,Residencial Campos Elíseos,Rio Verde,Rua Astolpho Leão Borges,360 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-residencial-campos-eliseos-rio-verde-360m2-id-2865266082/?source=ranking%2Crp
"Casa para comprar com 283 m², 3 quartos, 1 banheiro, 2 vagas em
Residencial Interlagos, Rio Verde",R$ 1.700.000,Residencial Interlagos,Rio Verde,N/A,283 m²,3,1,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-residencial-interlagos-rio-verde-283m2-id-2811139893/?source=ranking%2Crp
"Lote/Terreno para comprar com 1407 m² em
Jardim Esperanza, Rio Verde",R$ 2.700.000,Jardim Esperanza,Rio Verde,N/A,1407 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-jardim-esperanza-rio-verde-1407m2-id-2757929032/?source=ranking%2Crp
"Sobrado para comprar com 280 m², 3 quartos, 1 banheiro, 2 vagas em
Residencial Solar dos Ataídes 2ª Etapa, Rio Verde",R$ 1.800.000,Residencial Solar dos Ataídes 2ª Etapa,Rio Verde,N/A,280 m²,3,1,2,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-piscina-residencial-solar-dos-ataides-2-etapa-rio-verde-280m2-id-2864940100/?source=ranking%2Crp
"Casa para comprar com 350 m², 3 quartos, 2 banheiros, 2 vagas em
Popular, Rio Verde",R$ 1.200.000,Popular,Rio Verde,N/A,350 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-lavanderia-coletiva-popular-rio-verde-350m2-id-2793497619/?source=ranking%2Crp
"Casa para comprar com 140 m², 2 quartos, 1 banheiro, 1 vaga em
Jardim América Prolongamento A, Rio Verde",R$ 300.000,Jardim América Prolongamento A,Rio Verde,N/A,140 m²,2,1,1,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-jardim-america-prolongamento-a-rio-verde-140m2-id-2818966032/?source=ranking%2Crp
"Sobrado para comprar com 368 m², 4 quartos, 2 banheiros, 2 vagas em
Parque dos Buritis II, Rio Verde",R$ 2.000.000,Parque dos Buritis II,Rio Verde,N/A,368 m²,4,2,2,https://www.zapimoveis.com.br/imovel/venda-sobrados-4-quartos-com-piscina-parque-dos-buritis-ii-rio-verde-368m2-id-2804410050/?source=ranking%2Crp
"Sobrado para comprar com 152 m², 3 quartos, 1 banheiro, 3 vagas em
Residencial Interlagos, Rio Verde",R$ 980.000,Residencial Interlagos,Rio Verde,N/A,152 m²,3,1,3,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-residencial-interlagos-rio-verde-152m2-id-2811142424/?source=ranking%2Crp
"Sobrado para comprar com 168 m², 3 quartos, 2 banheiros, 2 vagas em
Residencial Interlagos, Rio Verde",R$ 1.500.000,Residencial Interlagos,Rio Verde,N/A,168 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-piscina-residencial-interlagos-rio-verde-168m2-id-2825854371/?source=ranking%2Crp
"Casa para comprar com 220 m², 3 quartos, 1 banheiro, 3 vagas em
Loteamento Gameleira, Rio Verde",R$ 850.000,Loteamento Gameleira,Rio Verde,N/A,220 m²,3,1,3,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-ar-condicionado-loteamento-gameleira-rio-verde-220m2-id-2836155766/?source=ranking%2Crp
"Prédio/Edificio inteiro para comprar com 300 m², 1 banheiro, 1 vaga em
Popular, Rio Verde",R$ 2.100.000,Popular,Rio Verde,N/A,300 m²,N/A,1,1,https://www.zapimoveis.com.br/imovel/venda-predio-popular-rio-verde-300m2-id-2833668828/?source=ranking%2Crp
"Casa de condomínio para comprar com 242 m², 4 quartos, 1 banheiro, 3 vagas em
Condomínio Residencial Villa Capri, Rio Verde",R$ 1.890.000,Condomínio Residencial Villa Capri,Rio Verde,N/A,242 m²,4,1,3,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-com-piscina-condominio-residencial-villa-capri-rio-verde-242m2-id-2811142425/?source=ranking%2Crp
"Casa para comprar com 280 m², 4 quartos, 4 banheiros, 4 vagas em
Residencial Araguaia, Rio Verde",R$ 2.000.000,Residencial Araguaia,Rio Verde,N/A,280 m²,4,4,4,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-mobiliado-residencial-araguaia-rio-verde-280m2-id-2821054923/?source=ranking%2Crp
"Casa para comprar com 189 m², 3 quartos, 1 banheiro, 2 vagas em
Parque das Laranjeiras Prolongamento, Rio Verde",R$ 1.300.000,Parque das Laranjeiras Prolongamento,Rio Verde,N/A,189 m²,3,1,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-area-de-servico-parque-das-laranjeiras-prolongamento-rio-verde-189m2-id-2762785452/?source=ranking%2Crp
"Lote/Terreno para comprar com 384 m² em
Vila Carolina, Rio Verde",R$ 595.000,Vila Carolina,Rio Verde,N/A,384 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-vila-carolina-rio-verde-384m2-id-2815137831/?source=ranking%2Crp
"Fazenda/Sítio/Chácara para comprar com 1696 m² em
Área Rural de Rio Verde, Rio Verde",R$ 423.998,Área Rural de Rio Verde,Rio Verde,N/A,1696 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-fazenda-sitio-chacara-area-rural-de-rio-verde-rio-verde-1696m2-id-2543403529/?source=ranking%2Crp
"Apartamento para comprar com 72 m², 3 quartos, 2 banheiros, 1 vaga em
Nova Vila Maria, Rio Verde",R$ 320.000,Nova Vila Maria,Rio Verde,N/A,72 m²,3,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-nova-vila-maria-rio-verde-72m2-id-2848940632/?source=ranking%2Crp
"Prédio/Edificio inteiro para comprar com 735 m², 4 banheiros em
César Bastos, Rio Verde",R$ 4.815.000,César Bastos,Rio Verde,Rua 7-G,735 m²,N/A,4,N/A,https://www.zapimoveis.com.br/imovel/venda-predio-cesar-bastos-rio-verde-735m2-id-2863688478/?source=ranking%2Crp
"Lote/Terreno para comprar com 465 m² em
Cidade Empresarial Nova Aliança 2, Rio Verde",R$ 290.000,Cidade Empresarial Nova Aliança 2,Rio Verde,N/A,465 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-cidade-empresarial-nova-alianca-2-rio-verde-465m2-id-2696533796/?source=ranking%2Crp
"Casa para comprar com 117 m², 3 quartos, 1 banheiro, 2 vagas em
Residencial Interlagos, Rio Verde",R$ 650.000,Residencial Interlagos,Rio Verde,N/A,117 m²,3,1,2,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-residencial-interlagos-rio-verde-117m2-id-2779341965/?source=ranking%2Crp
"Lote/Terreno para comprar com 675 m² em
Jardim Goiás, Rio Verde",R$ 1.100.000,Jardim Goiás,Rio Verde,N/A,675 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-goias-rio-verde-675m2-id-2762046223/?source=ranking%2Crp
"Casa para comprar com 181 m², 2 quartos, 1 banheiro, 1 vaga em
Vila Olinda, Rio Verde",R$ 550.000,Vila Olinda,Rio Verde,N/A,181 m²,2,1,1,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-area-de-servico-vila-olinda-rio-verde-181m2-id-2694235798/?source=ranking%2Crp
"Lote/Terreno para comprar com 419 m² em
Residencial Solar dos Ataídes 1ª Etapa, Rio Verde",R$ 450.000,Residencial Solar dos Ataídes 1ª Etapa,Rio Verde,N/A,419 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-residencial-solar-dos-ataides-1-etapa-rio-verde-419m2-id-2822345637/?source=ranking%2Crp
"Casa para comprar com 70 m², 3 quartos, 1 banheiro, 1 vaga em
Residencial Solar dos Ataídes 2ª Etapa, Rio Verde",R$ 400.000,Residencial Solar dos Ataídes 2ª Etapa,Rio Verde,N/A,70 m²,3,1,1,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-area-de-servico-residencial-solar-dos-ataides-2-etapa-rio-verde-70m2-id-2819601016/?source=ranking%2Crp
"Sobrado para comprar com 360 m², 3 quartos, 1 banheiro, 3 vagas em
Vila Amália, Rio Verde",R$ 1.300.000,Vila Amália,Rio Verde,N/A,360 m²,3,1,3,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-cozinha-vila-amalia-rio-verde-360m2-id-2705926263/?source=ranking%2Crp
"Sala/Conjunto para comprar com 40 m², 1 banheiro em
Odília, Rio Verde",R$ 515.000,Odília,Rio Verde,N/A,40 m²,N/A,1,N/A,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-odilia-rio-verde-40m2-id-2811139901/?source=ranking%2Crp
"Apartamento para comprar com 110 m², 3 quartos, 4 banheiros em
Residencial Interlagos, Rio Verde",R$ 680.000,Residencial Interlagos,Rio Verde,N/A,110 m²,3,4,N/A,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-residencial-interlagos-rio-verde-110m2-id-2854066514/?source=ranking%2Crp
"Casa para comprar com 400 m², 4 quartos, 1 banheiro, 3 vagas em
Jardim Marconal, Rio Verde",R$ 2.200.000,Jardim Marconal,Rio Verde,N/A,400 m²,4,1,3,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-churrasqueira-jardim-marconal-rio-verde-400m2-id-2770385725/?source=ranking%2Crp
"Fazenda/Sítio/Chácara para comprar com 200 m² em
Setor Central, Rio Verde",R$ 28.000.000,Setor Central,Rio Verde,N/A,200 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-fazenda-sitio-chacara-setor-central-rio-verde-200m2-id-2801653837/?source=ranking%2Crp
"Casa para comprar com 303 m², 3 quartos, 1 banheiro, 1 vaga em
Setor Central, Rio Verde",R$ 1.200.000,Setor Central,Rio Verde,N/A,303 m²,3,1,1,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-copa-setor-central-rio-verde-303m2-id-2863904753/?source=ranking%2Crp
"Casa para comprar com 155 m², 3 quartos, 1 banheiro, 4 vagas em
Residencial Interlagos, Rio Verde",R$ 850.000,Residencial Interlagos,Rio Verde,N/A,155 m²,3,1,4,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-residencial-interlagos-rio-verde-155m2-id-2763862843/?source=ranking%2Crp
"Casa de condomínio para comprar com 482 m², 4 quartos, 9 banheiros em
Residencial Green Park, Rio Verde",R$ 5.790.000,Residencial Green Park,Rio Verde,N/A,482 m²,4,9,N/A,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-com-piscina-residencial-green-park-rio-verde-482m2-id-2843271151/?source=ranking%2Crp
"Apartamento para comprar com 229 m², 4 quartos, 5 banheiros, 4 vagas em
Setor Central, Rio Verde",R$ 2.500.000,Setor Central,Rio Verde,N/A,229 m²,4,5,4,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-mobiliado-setor-central-rio-verde-229m2-id-2797642514/?source=ranking%2Crp
"Casa para comprar com 260 m², 4 quartos, 1 banheiro, 3 vagas em
Vila Baylão, Rio Verde",R$ 890.000,Vila Baylão,Rio Verde,N/A,260 m²,4,1,3,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-piscina-vila-baylao-rio-verde-260m2-id-2830024521/?source=ranking%2Crp
"Casa para comprar com 330 m², 4 quartos, 1 banheiro, 4 vagas em
Parque dos Buritis, Rio Verde",R$ 2.600.000,Parque dos Buritis,Rio Verde,N/A,330 m²,4,1,4,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-churrasqueira-parque-dos-buritis-rio-verde-330m2-id-2811142429/?source=ranking%2Crp
"Casa para comprar com 240 m², 4 quartos, 1 banheiro, 3 vagas em
Jardim Bela Vista, Rio Verde",R$ 1.250.000,Jardim Bela Vista,Rio Verde,N/A,240 m²,4,1,3,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-escritorio-jardim-bela-vista-rio-verde-240m2-id-2722974357/?source=ranking%2Crp
"Lote/Terreno para comprar com 413 m² em
Medeiros, Rio Verde",R$ 170.000,Medeiros,Rio Verde,N/A,413 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-frente-para-o-mar-medeiros-rio-verde-413m2-id-2762995825/?source=ranking%2Crp
