Titulo,Preco,Bairro,Cidade,Endereco,Metragem,Quartos,Banheiros,Vagas,Link
"Apartamento para comprar com 121 m², 3 quartos, 3 banheiros, 2 vagas em
Setor Oeste, Goiânia",R$ 1.150.005,Setor Oeste,Goiânia,Rua 7,121 m²,3,3,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-oeste-goiania-121m2-id-2825947635/?source=ranking%2Crp
"Apartamento para comprar com 114 m², 3 quartos, 4 banheiros, 2 vagas em
Jardim Goiás, Goiânia",R$ 1.200.000,Jardim Goiás,Goiânia,N/A,114 m²,3,4,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-jardim-goias-goiania-114m2-id-2841185934/?source=ranking%2Crp
"Lote/Terreno para comprar com 567 m² em
Jardim Goiás, Goiânia",R$ 550.000,Jardim Goiás,Goiânia,Rua 203,567 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-goias-goiania-567m2-id-2863870188/?source=ranking%2Crp
"Apartamento para comprar com 42 m², 2 quartos, 1 banheiro, 1 vaga em
Moinho dos Ventos, Goiânia",R$ 190.000,Moinho dos Ventos,Goiânia,Rua MDV 1,42 m²,2,1,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-moinho-dos-ventos-goiania-42m2-id-2723467837/?source=ranking%2Crp
"Lote/Terreno para comprar com 330 m² em
Residencial Solar Ville, Goiânia",R$ 130.000,Residencial Solar Ville,Goiânia,Rua Agrônomo Joaquim Batista,330 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-residencial-solar-ville-goiania-330m2-id-2860786417/?source=ranking%2Crp
"Casa de condomínio para comprar com 250 m², 3 quartos, 4 banheiros, 2 vagas em
Loteamento Portal do Sol I, Goiânia",R$ 1.690.000,Loteamento Portal do Sol I,Goiânia,Rua SB 24,250 m²,3,4,2,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-loteamento-portal-do-sol-i-goiania-250m2-id-2831087750/?source=ranking%2Crp
"Casa para comprar com 168 m², 3 quartos, 3 banheiros, 4 vagas em
Vila Finsocial, Goiânia",R$ 830.000,Vila Finsocial,Goiânia,Rua VF 35,168 m²,3,3,4,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-vila-finsocial-goiania-168m2-id-2829110751/?source=ranking%2Crp
"Apartamento para comprar com 90 m², 3 quartos, 2 banheiros, 1 vaga em
Jardim América, Goiânia",R$ 395.000,Jardim América,Goiânia,Rua C145,90 m²,3,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-area-de-servico-jardim-america-goiania-90m2-id-2835972091/?source=ranking%2Crp
"Apartamento para comprar com 67 m², 2 quartos, 2 banheiros, 1 vaga em
Parque Amazônia, Goiânia",R$ 349.000,Parque Amazônia,Goiânia,Rua Umiri,67 m²,2,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-parque-amazonia-goiania-67m2-id-2838404821/?source=ranking%2Crp
"Sobrado para comprar com 472 m², 3 quartos, 1 banheiro, 3 vagas em
Chácara do Governador, Goiânia",R$ 640.000,Chácara do Governador,Goiânia,Rua DF19,472 m²,3,1,3,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-interfone-chacara-do-governador-goiania-472m2-id-2827415818/?source=ranking%2Crp
"Casa para comprar com 127 m², 3 quartos, 2 banheiros, 3 vagas em
Jardim Itaipu, Goiânia",R$ 480.000,Jardim Itaipu,Goiânia,Rua Belo Horizonte,127 m²,3,2,3,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-jardim-itaipu-goiania-127m2-id-2838835834/?source=ranking%2Crp
"Casa para comprar com 195 m², 3 quartos, 2 banheiros, 6 vagas em
Setor Faiçalville, Goiânia",R$ 670.000,Setor Faiçalville,Goiânia,N/A,195 m²,3,2,6,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-setor-faicalville-goiania-195m2-id-2844062330/?source=ranking%2Crp
"Apartamento para comprar com 450 m², 2 quartos, 2 banheiros, 4 vagas em
Residencial Vereda dos Buritis, Goiânia",R$ 1.250.000,Residencial Vereda dos Buritis,Goiânia,Rua VB 50,450 m²,2,2,4,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-residencial-vereda-dos-buritis-goiania-450m2-id-2859499833/?source=ranking%2Crp
"Casa para comprar com 85 m², 2 quartos, 2 banheiros, 1 vaga em
Residencial Recanto do Bosque, Goiânia",R$ 290.000,Residencial Recanto do Bosque,Goiânia,Rua RB 46 A,85 m²,2,2,1,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-geminada-residencial-recanto-do-bosque-goiania-85m2-id-2857477454/?source=ranking%2Crp
"Apartamento para comprar com 62 m², 2 quartos, 3 banheiros, 2 vagas em
Setor Marista, Goiânia",R$ 555.500,Setor Marista,Goiânia,Rua 1123,62 m²,2,3,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-setor-marista-goiania-62m2-id-2771606443/?source=ranking%2Crp
"Casa de condomínio para comprar com 305 m², 4 quartos, 4 banheiros, 2 vagas em
Parque Cidade, Goiânia",R$ 5.300.000,Parque Cidade,Goiânia,Rua CN8,305 m²,4,4,2,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-parque-cidade-goiania-305m2-id-2821568517/?source=ranking%2Crp
"Sobrado para comprar com 200 m², 3 quartos, 4 banheiros, 2 vagas em
Jardim Ana Lúcia, Goiânia",R$ 690.000,Jardim Ana Lúcia,Goiânia,Rua Uberlândia,200 m²,3,4,2,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-jardim-ana-lucia-goiania-200m2-id-2837941822/?source=ranking%2Crp
"Casa de condomínio para comprar com 393 m², 5 quartos, 8 banheiros, 2 vagas em
Parque Acalanto, Goiânia",R$ 1.300.000,Parque Acalanto,Goiânia,Rua Irariê,393 m²,5,8,2,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-5-quartos-com-piscina-parque-acalanto-goiania-393m2-id-2843725640/?source=ranking%2Crp
"Casa de condomínio para comprar com 400 m², 7 quartos, 15 banheiros, 4 vagas em
Residencial Aldeia do Vale, Goiânia",R$ 5.500.000,Residencial Aldeia do Vale,Goiânia,N/A,400 m²,7,15,4,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-7-quartos-residencial-aldeia-do-vale-goiania-400m2-id-2863703477/?source=ranking%2Crp
